"순서","시설ID","컨텐츠 명","사용유무","테마 타입","x 좌표","y 좌표","좌표 배열","좌표타입","메인 이미지","새 주소","구 주소","우편번호","국가 지점 번호","테마 명","거리","업데이트 일","등록일","이미지 URL1","이미지 URL2","이미지 URL3","이미지 URL4","이미지 URL5","동영상 URL","음성파일 URL","평가 점수","평가자 인원","상세정보 이름 1","상세정보 값 1","상세정보 이름 2","상세정보 값 2","상세정보 이름 3","상세정보 값 3","상세정보 이름 4","상세정보 값 4","상세정보 이름 5","상세정보 값 5","상세정보 이름 6","상세정보 값 6","상세정보 이름 7","상세정보 값 7","상세정보 이름 8","상세정보 값 8","상세정보 이름 9","상세정보 값 9","상세정보 이름 10","상세정보 값 10"
"959","강동구_공기주입기_001","자전거 공기주입기","사용","일반","127.151219984","37.533005832","[]","Point","","서울특별시 강동구 동남로 660","서울특별시 강동구 둔촌동 산 125","05357","","자전거 편의시설","17925.130174","2022-01-03 15:40:36","2022-01-03 15:40:36","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","기타|공원 및 주변|","상세위치(예 OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","기계식|","설치/이용가능대수(예 00대)","1대","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"960","강동구_공기주입기_027","자전거 공기주입기","사용","일반","127.126968754","37.528577813","[]","Point","","서울특별시 강동구 성내로 57","서울특별시 강동구 성내동 541-1","05397","","자전거 편의시설","15637.351644","2022-01-03 18:00:52","2022-01-03 18:00:52","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","관공서|","상세위치(예 OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","수동식|","설치/이용가능대수(예 00대)","1대","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"961","강동구_공기주입기_022","자전거 공기주입기","사용","일반","127.143528201","37.560338596","[]","Point","","","서울특별시 강동구 암사동 3","","","자전거 편의시설","16887.621668","2022-01-03 17:53:32","2022-01-03 17:53:32","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","관공서|","상세위치(예 OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","기계식|","설치/이용가능대수(예 00대)","1대","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"962","강동구_공기주입기_024","자전거 공기주입기","사용","일반","127.158089440","37.560242407","[]","Point","","서울특별시 강동구 동남로 968","서울특별시 강동구 고덕동 295","05225","","자전거 편의시설","18343.606490","2022-01-03 17:55:55","2022-01-03 17:55:55","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","학교|","상세위치(예 OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","수동식|","설치/이용가능대수(예 00대)","1대","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"963","강동구_공기주입기_025","자전거 공기주입기","사용","일반","127.177920559","37.564260086","[]","Point","","","서울특별시 강동구 강일동 685-1","","","자전거 편의시설","20322.558882","2022-01-03 17:57:11","2022-01-03 17:57:11","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","학교|","상세위치(예 OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","수동식|","설치/이용가능대수(예 00대)","1대","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"964","강동구_공기주입기_019","자전거 공기주입기","사용","일반","127.135382783","37.552456953","[]","Point","","서울특별시 강동구 고덕로24길 51","서울특별시 강동구 암사동 544","05255","","자전거 편의시설","16111.266540","2022-01-03 17:51:02","2022-01-03 17:51:02","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","관공서|","상세위치(예 OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","기계식|","설치/이용가능대수(예 00대)","1대","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"965","강동구_공기주입기_026","자전거 공기주입기","사용","일반","127.126966171","37.528624776","[]","Point","","서울특별시 강동구 성내로 57","서울특별시 강동구 성내동 541-1","05397","","자전거 편의시설","15636.032444","2022-01-03 17:59:54","2022-01-03 17:59:54","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","관공서|","상세위치(예 OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","기계식|","설치/이용가능대수(예 00대)","1대","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"966","강동구_공기주입기_029","자전거 공기주입기","사용","일반","127.124165569","37.538711905","[]","Point","","서울특별시 강동구 천호대로 1005","서울특별시 강동구 천호동 572","05328","","자전거 편의시설","15161.974698","2022-01-03 18:02:20","2022-01-03 18:02:20","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","지하철역|","상세위치(예 OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","수동식|","설치/이용가능대수(예 00대)","1대","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"967","중구 공기주입기 2","자전거 공기주입기","사용","일반","127.005295062","37.559374468","[]","Point","","서울특별시 중구 동호로24길 7","서울특별시 중구 장충동2가 189-33","04617","","자전거 편의시설","3097.046174","2022-01-04 14:55:59","2022-01-04 14:55:59","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","지하철역|","상세위치(예 OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","기계식|","설치/이용가능대수(예 00대)","1대","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"968","중구 공기주입기 1","자전거 공기주입기","사용","일반","127.010938338","37.565144077","[]","Point","","서울특별시 중구 을지로 299","서울특별시 중구 신당동 224-22","04566","","자전거 편의시설","3625.696814","2022-01-04 14:54:30","2022-01-04 14:54:30","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","학교|","상세위치(예 OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","기계식|","설치/이용가능대수(예 00대)","1대","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"969","중구 공기주입기 3","자전거 공기주입기","사용","일반","126.967271412","37.565791109","[]","Point","","서울특별시 중구 통일로 120","서울특별시 중구 충정로1가 101-1","04517","","자전거 편의시설","760.282168","2022-01-04 14:57:49","2022-01-04 14:57:49","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","","상세위치(예 OO동 주민센터)","서대문역6번출구","설치유형(*공기주입기와 주차장 만 선택하세요.)","기계식|","설치/이용가능대수(예 00대)","1대","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"970","중구 공기주입기 4","자전거 공기주입기","사용","일반","127.016321256","37.565779170","[]","Point","","서울특별시 중구 다산로 258","서울특별시 중구 흥인동 162-1","04570","","자전거 편의시설","4165.812506","2022-01-04 15:12:54","2022-01-04 15:12:54","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","지하철역|","상세위치(예 OO동 주민센터)","신당역사거리","설치유형(*공기주입기와 주차장 만 선택하세요.)","기계식|","설치/이용가능대수(예 00대)","1대","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"971","중구 공기주입기 6","자전거 공기주입기","사용","일반","127.013782486","37.560477825","[]","Point","","서울특별시 중구 다산로 191-1","서울특별시 중구 신당동 295-3","04610","","자전거 편의시설","3925.960304","2022-01-04 15:14:10","2022-01-04 15:14:10","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","지하철역|","상세위치(예 OO동 주민센터)","청구역1번출구","설치유형(*공기주입기와 주차장 만 선택하세요.)","기계식|","설치/이용가능대수(예 00대)","1대","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"972","중구 공기주입기 8","자전거 공기주입기","사용","일반","127.004879681","37.558838678","[]","Point","","서울특별시 중구 동호로 261","서울특별시 중구 장충동2가 196-1","04620","","자전거 편의시설","3064.841119","2022-01-04 15:15:15","2022-01-04 15:15:15","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","지하철역|","상세위치(예 OO동 주민센터)","장충단공원 / 동대입구역","설치유형(*공기주입기와 주차장 만 선택하세요.)","기계식|","설치/이용가능대수(예 00대)","1대","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","장충파출소","장충파출소"
"973","중구 공기주입기  5","자전거 공기주입기","사용","일반","127.011226632","37.554379783","[]","Point","","서울특별시 중구 동호로 180","서울특별시 중구 신당동 369-44","04590","","자전거 편의시설","3781.556924","2022-01-04 15:10:43","2022-01-04 15:10:43","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","지하철역|","상세위치(예 OO동 주민센터)","약수역","설치유형(*공기주입기와 주차장 만 선택하세요.)","기계식|","설치/이용가능대수(예 00대)","1대","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"974","중구 공기주입기 9","자전거 공기주입기","사용","일반","126.968217851","37.555303693","[]","Point","","서울특별시 용산구 만리재로 202","서울특별시 중구 만리동1가 22-1","04300","","자전거 편의시설","1096.405977","2022-01-04 15:19:26","2022-01-04 15:19:26","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","기타|광장|","상세위치(예 OO동 주민센터)","만리광장","설치유형(*공기주입기와 주차장 만 선택하세요.)","기계식|","설치/이용가능대수(예 00대)","1대","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"975","강서구_공기주입기_001","자전거 공기주입기","사용","일반","126.849815737","37.551059473","[]","Point","https://map.seoul.go.kr/smgis/ucimgs/conts/11103419/11103419_gangseobike_20220107174525_1.jpg","서울특별시 강서구 화곡로 302","서울특별시 강서구 화곡동 980-16","07658","","자전거 편의시설","12556.349877","2022-01-07 17:45:21","2022-01-07 17:45:21","https://map.seoul.go.kr/smgis/ucimgs/conts/11103419/11103419_gangseobike_20220107174525_1.jpg","","","","","","","","","운영시간 (24시간)","","설치지역","관공서|","강서구청 본관 후정 주차장","","설치유형(*공기주입기와 주차장 만 선택하세요.)","기계식|","설치/이용가능대수(예 00대)","1대","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","관리부서: 강서구청 교통행정과","관리부서: 강서구청 교통행정과"
"976","은평구_공기주입기_007","자전거 공기주입기","사용","일반","126.910013505","37.584426341","[]","Point","","서울특별시 은평구 증산로 307","서울특별시 은평구 증산동 199-8","03499","","자전거 편의시설","6778.514439","2022-01-10 15:14:13","2022-01-10 15:14:13","","","","","","","","","","연중","","설치지역","지하철역|","증산역4번출구","","설치유형(*공기주입기와 주차장 만 선택하세요.)","기계식|","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"977","은평구_공기주입기_013","자전거 공기주입기","사용","일반","126.919396492","37.636104934","[]","Point","","서울특별시 은평구 진관2로 29-16","서울특별시 은평구 진관동 75-3","03306","","자전거 편의시설","9074.931137","2022-01-10 15:37:47","2022-01-10 15:37:47","","","","","","","","","","연중","","설치지역","지하철역|","구파발역 천주교 성당 옆","","설치유형(*공기주입기와 주차장 만 선택하세요.)","기계식|","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"978","은평구_공기주입기_005","자전거 공기주입기","사용","일반","126.920963667","37.619067526","[]","Point","","서울특별시 은평구 연서로 231","서울특별시 은평구 갈현동 397","03330","","자전거 편의시설","7683.092351","2022-01-10 15:07:29","2022-01-10 15:07:29","","","","","","","","","","연중","","설치지역","지하철역|","연신내 물빛 공원","","설치유형(*공기주입기와 주차장 만 선택하세요.)","기계식|","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"979","은평구_공기주입기_006","자전거 공기주입기","사용","일반","126.902396139","37.577268281","[]","Point","","서울특별시 은평구 수색로 175","서울특별시 은평구 증산동 239","03504","","자전거 편의시설","7347.934811","2022-01-10 15:11:05","2022-01-10 15:11:05","","","","","","","","","","연중","","설치지역","지하철역|","디지털미디어시티역 4번출구","","설치유형(*공기주입기와 주차장 만 선택하세요.)","기계식|","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"980","은평구_공기주입기_002","자전거 공기주입기","사용","일반","126.931032568","37.608989869","[]","Point","","서울특별시 은평구 통일로 707","서울특별시 은평구 대조동 15-1","03397","","자전거 편의시설","6258.611523","2022-01-10 14:53:37","2022-01-10 14:53:37","","","","","","","","","","연중","","설치지역","지하철역|","상세위치(예 OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","기계식|","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"981","종로구 공기주입기_003","자전거 공기주입기","사용","일반","126.972175815","37.576221430","[]","Point","","서울특별시 종로구 사직로 121","서울특별시 종로구 내자동 67-2","03041","","자전거 편의시설","1233.149283","2022-01-10 17:40:45","2022-01-10 17:40:45","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","","상세위치(예 OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"982","종로구 공기주입기_010","자전거 공기주입기","사용","일반","126.988809763","37.570554185","[]","Point","","서울특별시 종로구 종로17길 4","서울특별시 종로구 종로2가 39-2","03140","","자전거 편의시설","1549.968129","2022-01-10 17:44:51","2022-01-10 17:44:51","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","","상세위치(예 OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"983","종로구 공기주입기_002","자전거 공기주입기","사용","일반","126.972833364","37.573912417","[]","Point","","서울특별시 종로구 사직로8길 42","서울특별시 종로구 내수동 74","03173","","자전거 편의시설","993.833358","2022-01-10 17:40:14","2022-01-10 17:40:14","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","","상세위치(예 OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"984","은평구_공기주입기_009","자전거 공기주입기","사용","일반","126.916011868","37.599483448","[]","Point","","서울특별시 은평구 연서로 5","서울특별시 은평구 역촌동 43-13","03421","","자전거 편의시설","6849.936152","2022-01-10 15:23:03","2022-01-10 15:23:03","","","","","","","","","","연중","","설치지역","지하철역|","응암역3번출구 교통섬","","설치유형(*공기주입기와 주차장 만 선택하세요.)","기계식|","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"985","은평구_공기주입기_004","자전거 공기주입기","사용","일반","126.921250067","37.618647879","[]","Point","","서울특별시 은평구 통일로 845","서울특별시 은평구 대조동 185-1","03385","","자전거 편의시설","7633.072565","2022-01-10 15:03:53","2022-01-10 15:03:53","","","","","","","","","","연중","","설치지역","지하철역|","","","설치유형(*공기주입기와 주차장 만 선택하세요.)","기계식|","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"986","종로구 공기주입기_017","자전거 공기주입기","사용","일반","127.001381491","37.583834080","[]","Point","","서울특별시 종로구 대학로 141","서울특별시 종로구 혜화동 166-4","03077","","자전거 편의시설","3316.069673","2022-01-10 17:51:49","2022-01-10 17:51:49","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","","상세위치(예 OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"987","종로구 공기주입기_022","자전거 공기주입기","사용","일반","127.015154197","37.578996854","[]","Point","","서울특별시 종로구 지봉로 99-1","서울특별시 종로구 창신동 17-58","03094","","자전거 편의시설","4309.728177","2022-01-10 17:57:17","2022-01-10 17:55:29","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","","상세위치(예 OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"988","은평구_공기주입기_008","자전거 공기주입기","사용","일반","126.913757987","37.591082087","[]","Point","","서울특별시 은평구 증산로 389","서울특별시 은평구 신사동 352-2","03442","","자전거 편의시설","6662.324567","2022-01-10 15:18:03","2022-01-10 15:18:03","","","","","","","","","","연중","","설치지역","지하철역|","새절역2번출구","","설치유형(*공기주입기와 주차장 만 선택하세요.)","기계식|","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"989","종로구 공기주입기_014","자전거 공기주입기","사용","일반","127.001257944","37.571156127","[]","Point","","서울특별시 종로구 종로 211-1","서울특별시 종로구 종로5가 91","03129","","자전거 편의시설","2747.136344","2022-01-10 17:48:15","2022-01-10 17:48:15","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","","상세위치(예 OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"990","종로구 공기주입기_018","자전거 공기주입기","사용","일반","127.001660631","37.584860538","[]","Point","","서울특별시 종로구 대학로 156","서울특별시 종로구 혜화동 90-14","03083","","자전거 편의시설","3400.105351","2022-01-10 17:53:12","2022-01-10 17:53:12","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","","상세위치(예 OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"991","은평구_공기주입기_001","자전거 공기주입기","사용","일반","126.935353509","37.601355355","[]","Point","","서울특별시 은평구 통일로 611","서울특별시 은평구 녹번동 55","03382","","자전거 편의시설","5414.786565","2022-01-10 14:47:52","2022-01-10 14:47:52","","","","","","","","","","연중","","설치지역","지하철역|","상세위치(예 OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"992","은평구_공기주입기_003","자전거 공기주입기","사용","일반","126.929226942","37.610960982","[]","Point","","서울특별시 은평구 불광로 29-1","서울특별시 은평구 대조동 13-1","03396","","자전거 편의시설","6525.804421","2022-01-10 14:59:07","2022-01-10 14:59:07","","","","","","","","","","연중","","설치지역","지하철역|","상세위치(예 OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","기계식|","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"993","은평구_공기주입기_010","자전거 공기주입기","사용","일반","126.922558491","37.605982339","[]","Point","","서울특별시 은평구 진흥로 103","서울특별시 은평구 역촌동 17-55","03404","","자전거 편의시설","6684.429786","2022-01-10 15:25:46","2022-01-10 15:25:46","","","","","","","","","","연중","","설치지역","지하철역|","역촌역1번출구","","설치유형(*공기주입기와 주차장 만 선택하세요.)","기계식|","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"994","은평구_공기주입기_012","자전거 공기주입기","사용","일반","126.932904055","37.618442752","[]","Point","","서울특별시 은평구 불광로 131","서울특별시 은평구 불광동 13-33","03354","","자전거 편의시설","6851.412996","2022-01-10 15:34:56","2022-01-10 15:34:56","","","","","","","","","","연중","","설치지역","지하철역|","독바위역1번출구","","설치유형(*공기주입기와 주차장 만 선택하세요.)","기계식|","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
